 436.697449	0.597710	-0.136105	-0.790075	1229.639160	722.505798	1804.699951
 635.548035	-0.173315	0.152448	-0.972996	1286.589111	-408.769836	1804.699951
 527.457520	-0.337517	-0.292978	-0.894565	835.746094	-908.049622	1804.699951
 403.895752	-0.464044	0.047900	-0.884516	-101.143921	266.851837	1804.699951
 522.655823	-0.098860	-0.403991	-0.909405	-892.716003	-537.784973	1804.699951
 311.469910	-0.141891	0.366624	-0.919486	386.730286	910.941711	1804.699951
 606.693420	-0.120906	-0.153617	-0.980706	421.515747	-1113.536133	1804.699951
 257.424133	-0.451026	-0.152544	-0.879378	813.346741	83.635063	1804.699951
 373.213135	-0.071657	0.232664	-0.969914	1370.377686	108.534927	1804.699951
 699.362732	-0.172879	-0.319177	-0.931794	-435.048035	255.942963	1804.699951
 438.203064	-0.105780	-0.478702	-0.871582	970.548218	277.755219	1804.699951
 487.262085	-0.165973	-0.193593	-0.966941	-58.024956	-141.767822	1804.699951
 217.012283	-0.292225	0.265504	-0.918756	-973.645081	432.968781	1804.699951
 726.065979	-0.003327	-0.068086	-0.997674	33.900776	-530.560974	1804.699951
 520.527954	-0.028409	-0.399525	-0.916282	762.473083	1036.411743	1804.699951
 614.982361	-0.074016	-0.581537	-0.810146	-693.758118	-1109.229614	1804.699951
 375.081787	-0.419286	0.336024	-0.843379	1523.536011	69.884552	1804.699951
 267.052551	0.147458	-0.469379	-0.870598	1361.284546	135.703262	1804.699951
 484.447144	-0.021016	0.113941	-0.993265	-212.130844	-419.332947	1804.699951
 581.531250	0.115752	0.485073	-0.866779	186.539154	1127.245361	1804.699951
 569.942017	0.076694	0.455726	-0.886810	-674.744385	199.261337	1804.699951
 275.575134	-0.105457	-0.269181	-0.957299	461.947144	845.049805	1804.699951
 490.813843	-0.423872	0.200534	-0.883243	357.045532	-505.283386	1804.699951
 390.766479	0.175178	0.461447	-0.869701	1017.241577	602.313843	1804.699951
 669.015564	-0.101160	0.193703	-0.975831	134.684158	774.715637	1804.699951
 574.368835	0.066104	0.090098	-0.993737	-277.871552	253.474564	1804.699951
 597.189331	-0.233350	-0.436829	-0.868751	-809.691101	-566.778992	1804.699951
 529.587402	0.195984	0.074455	-0.977776	67.121284	-125.867203	1804.699951
